Sample;176Lu/177Hf;1s_error;176Hf/177Hf;1s_error.1;t(Ga);2s_error
060065_03;0,00086;0,00001;0,28308;0,00002;0,039;0,001
060065_04;0,00160;0,00021;0,28306;0,00001;0,037;0,001
060065_05;0,00491;0,00004;0,28290;0,00002;0,037;0,001
060065_06;0,00168;0,00001;0,28307;0,00001;0,037;0,001
060065_07;0,00276;0,00002;0,28303;0,00002;0,037;0,000
060065_08;0,00238;0,00003;0,28300;0,00002;0,038;0,001
060065_09;0,00387;0,00013;0,28298;0,00002;0,037;0,001
060065_10;0,00087;0,00004;0,28303;0,00002;0,000;0,000
060065_11;0,00088;0,00005;0,28306;0,00001;0,037;0,000
060065_12;0,00200;0,00015;0,28304;0,00001;0,037;0,001
060065_13;0,00379;0,00004;0,28297;0,00002;0,038;0,001
060065_15;0,00137;0,00001;0,28302;0,00002;0,036;0,000
060065_16;0,00466;0,00017;0,28296;0,00002;0,037;0,001
060065_18;0,00175;0,00005;0,28300;0,00002;0,037;0,001
060065_20;0,00227;0,00003;0,28295;0,00002;0,037;0,001
060067_01;0,00226;0,00002;0,28306;0,00002;0,037;0,001
060067_04;0,00332;0,00002;0,28303;0,00002;0,036;0,000
060067_06;0,00345;0,00007;0,28307;0,00002;0,036;0,000
060067_08;0,00299;0,00007;0,28307;0,00002;0,036;0,000
060067_09;0,00138;0,00010;0,28304;0,00002;0,040;0,001
060067_10;0,00346;0,00002;0,28302;0,00002;0,036;0,001
060067_11;0,00258;0,00013;0,28308;0,00002;0,037;0,000
060067_12;0,00489;0,00004;0,28303;0,00002;0,036;0,000
060067_14;0,00184;0,00002;0,28304;0,00002;0,036;0,001
060067_15;0,00559;0,00006;0,28306;0,00002;0,036;0,000
060067_16;0,00321;0,00001;0,28304;0,00002;0,036;0,000
060067_17;0,00351;0,00002;0,28305;0,00001;0,036;0,001
060067_18;0,00229;0,00004;0,28299;0,00002;0,036;0,000
060067_19;0,00394;0,00001;0,28309;0,00002;0,036;0,000
060067_20;0,00160;0,00004;0,28309;0,00001;0,037;0,000
060072_02;0,00364;0,00009;0,28291;0,00003;0,067;0,001
060072_03;0,00402;0,00026;0,28302;0,00002;0,069;0,001
060072_05;0,05975;0,00110;0,29588;0,00970;0,000;0,000
060072_06;0,00530;0,00036;0,28293;0,00010;0,067;0,001
060072_07;0,00450;0,00011;0,28273;0,00004;0,066;0,001
060072_09;0,00447;0,00010;0,28280;0,00004;0,068;0,001
060072_13;0,00594;0,00024;0,28295;0,00009;0,067;0,001
060072_14;0,00447;0,00032;0,28292;0,00004;0,000;0,000
